"Date","Time","Global_active_power","Global_reactive_power","Global_intensity","Voltage","Sub_metering_1","Sub_metering_2","Sub_metering_3"
"2006-12-16","17:24:00",4.216,0.418,18.4,234.84,0,1,17
"2006-12-16","17:25:00",5.36,0.436,23,233.63,0,1,16
"2006-12-16","17:26:00",5.374,0.498,23,233.29,0,2,17
"2006-12-16","17:27:00",5.388,0.502,23,233.74,0,1,17
"2006-12-16","17:28:00",3.666,0.528,15.8,235.68,0,1,17
"2006-12-16","17:29:00",3.52,0.522,15,235.02,0,2,17
"2006-12-16","17:30:00",3.702,0.52,15.8,235.09,0,1,17
"2006-12-16","17:31:00",3.7,0.52,15.8,235.22,0,1,17
"2006-12-16","17:32:00",3.668,0.51,15.8,233.99,0,1,17
"2006-12-16","17:33:00",3.662,0.51,15.8,233.86,0,2,16
"2006-12-16","17:34:00",4.448,0.498,19.6,232.86,0,1,17
"2006-12-16","17:35:00",5.412,0.47,23.2,232.78,0,1,17
"2006-12-16","17:36:00",5.224,0.478,22.4,232.99,0,1,16
"2006-12-16","17:37:00",5.268,0.398,22.6,232.91,0,2,17
"2006-12-16","17:38:00",4.054,0.422,17.6,235.24,0,1,17
"2006-12-16","17:39:00",3.384,0.282,14.2,237.14,0,0,17
"2006-12-16","17:40:00",3.27,0.152,13.8,236.73,0,0,17
"2006-12-16","17:41:00",3.43,0.156,14.4,237.06,0,0,17
"2006-12-16","17:42:00",3.266,0,13.8,237.13,0,0,18
"2006-12-16","17:43:00",3.728,0,16.4,235.84,0,0,17
"2006-12-16","17:44:00",5.894,0,25.4,232.69,0,0,16
"2006-12-16","17:45:00",7.706,0,33.2,230.98,0,0,17
"2006-12-16","17:46:00",7.026,0,30.6,232.21,0,0,16
"2006-12-16","17:47:00",5.174,0,22,234.19,0,0,17
"2006-12-16","17:48:00",4.474,0,19.4,234.96,0,0,17
"2006-12-16","17:49:00",3.248,0,13.6,236.66,0,0,17
"2006-12-16","17:50:00",3.236,0,13.6,235.84,0,0,17
"2006-12-16","17:51:00",3.228,0,13.6,235.6,0,0,17
"2006-12-16","17:52:00",3.258,0,13.8,235.49,0,0,17
"2006-12-16","17:53:00",3.178,0,13.4,235.28,0,0,17
"2006-12-16","17:54:00",2.72,0,11.6,235.06,0,0,17
"2006-12-16","17:55:00",3.758,0.076,16.4,234.17,0,0,17
"2006-12-16","17:56:00",4.342,0.09,18.4,233.77,0,0,16
"2006-12-16","17:57:00",4.512,0,19.2,233.62,0,0,17
"2006-12-16","17:58:00",4.058,0.2,17.6,234.68,0,0,17
"2006-12-16","17:59:00",2.472,0.058,10.4,236.94,0,0,17
"2006-12-16","18:00:00",2.79,0.18,11.8,237.52,0,0,18
"2006-12-16","18:01:00",2.624,0.144,11,238.2,0,0,17
"2006-12-16","18:02:00",2.772,0.118,11.6,238.28,0,0,17
"2006-12-16","18:03:00",3.74,0.108,16.4,236.93,0,16,18
"2006-12-16","18:04:00",4.928,0.202,21,235.01,0,37,16
"2006-12-16","18:05:00",6.052,0.192,26.2,232.93,0,37,17
"2006-12-16","18:06:00",6.752,0.186,29,232.12,0,36,17
"2006-12-16","18:07:00",6.474,0.144,27.8,231.85,0,37,16
"2006-12-16","18:08:00",6.308,0.116,27,232.25,0,36,17
"2006-12-16","18:09:00",4.464,0.136,19,234.66,0,37,16
"2006-12-16","18:10:00",3.396,0.148,15,236.2,0,22,18
"2006-12-16","18:11:00",3.09,0.152,13.8,237.07,0,12,17
"2006-12-16","18:12:00",3.73,0.144,16.4,235.78,0,27,17
"2006-12-16","18:13:00",2.308,0.16,9.6,237.43,0,1,17
"2006-12-16","18:14:00",2.388,0.158,10,237.26,0,1,17
"2006-12-16","18:15:00",4.598,0.1,21.4,234.25,0,20,17
"2006-12-16","18:16:00",4.524,0.076,19.6,234.2,0,9,17
"2006-12-16","18:17:00",4.202,0.082,17.8,234.31,0,1,17
"2006-12-16","18:18:00",4.472,0,19.2,233.29,0,1,16
"2006-12-16","18:19:00",2.852,0,12,235.61,0,1,17
"2006-12-16","18:20:00",2.928,0,12.4,235.25,0,1,17
"2006-12-16","18:21:00",2.94,0,12.4,236.04,0,2,17
"2006-12-16","18:22:00",2.934,0,12.4,235.51,0,1,17
"2006-12-16","18:23:00",2.926,0,12.4,235.68,0,1,17
"2006-12-16","18:24:00",3.452,0,15.2,235.2,0,1,17
"2006-12-16","18:25:00",4.87,0,20.8,233.74,0,1,17
"2006-12-16","18:26:00",4.868,0,20.8,233.84,0,1,17
"2006-12-16","18:27:00",4.866,0,20.8,233.79,0,1,17
"2006-12-16","18:28:00",3.176,0,13.8,235.5,0,1,17
"2006-12-16","18:29:00",2.92,0,12.4,235.84,0,1,17
"2006-12-16","18:30:00",2.93,0,12.4,236.15,0,1,17
"2006-12-16","18:31:00",2.912,0.05,12.4,235.81,0,1,17
"2006-12-16","18:32:00",2.608,0.052,11,235.41,0,1,17
"2006-12-16","18:33:00",2.714,0.162,11.6,234.82,0,0,17
"2006-12-16","18:34:00",3.538,0.086,15.6,233.76,0,1,16
"2006-12-16","18:35:00",6.072,0,26.4,232.48,0,27,17
"2006-12-16","18:36:00",4.536,0,19.4,233.54,0,1,17
"2006-12-16","18:37:00",4.408,0,18.8,232.32,0,1,16
"2006-12-16","18:38:00",2.912,0.048,13,234.02,0,1,17
"2006-12-16","18:39:00",2.326,0.054,9.8,234.76,0,1,17
"2006-12-16","18:40:00",2.264,0.054,9.6,234.67,0,1,17
